rmse_dex,nmad_dex,mae_dex,sesgo_dex,r2,n,bin_centro
0.2741137444972992,0.1362563967704773,0.24699611961841583,0.24699611961841583,-60.813076247206965,20,8.049999523162843
0.22777165472507477,0.13417653739452362,0.1899307370185852,0.18468065559864044,-81.10567192505187,63,8.14999942779541
0.227176234126091,0.14646488428115845,0.1903466135263443,0.17782938480377197,-58.99290419399175,107,8.24999933242798
0.19788873195648193,0.11785850673913956,0.16211791336536407,0.1448243111371994,-38.01502026958448,101,8.349999237060548
0.18187843263149261,0.13640840351581573,0.14265088737010956,0.10174904763698578,-36.68332018540226,186,8.449999141693116
0.14768020808696747,0.1055673211812973,0.11114535480737686,0.05835592374205589,-52.61378072322535,366,8.549999046325684
0.10850060731172562,0.08212032914161682,0.07951108366250992,0.038594067096710205,-11.648926290224423,959,8.649998950958253
0.10339850932359695,0.0857265293598175,0.0781724825501442,0.03658599406480789,-11.674353237988802,1056,8.749998855590821
0.07988494634628296,0.07546501606702805,0.06290235370397568,0.01025904156267643,-8.179740091136543,2144,8.84999876022339
0.06880643963813782,0.06257009506225586,0.052798353135585785,-5.504674118128605e-05,-5.43647154873477,3412,8.949998664855958
0.05608345940709114,0.04489258676767349,0.04100583866238594,-0.013769431971013546,-2.5520999030809746,4418,9.049998569488526
0.0593348890542984,0.036127712577581406,0.04491950199007988,-0.03946627303957939,-5.100896132483003,2032,9.149998474121094
0.1355721652507782,0.055517472326755524,0.11871709674596786,-0.11871709674596786,-55.48340810768516,118,9.249998378753663
